scenario,date,day,block,debt,sub,float,gain,fee,agent,drew,paid,kept,owe,sde,sin,gap,legacy_debt,legacy_send
refresh,2026-08-10,10,25728039,400516311,23902926,0,520539.093103654852,401286.202448702272122658,23887.487908645518930388,520539,143140,377399,0.37856359809880773,0.093103654852,0,0,0,0
refresh,2026-08-11,11,25735200,400568296,23917151,0,572524.600430695284,441443.486738227546392844,26284.085920688741824273,572524,157365,415159,0.199613156479431429,0.600430695284,0,0,0,0
refresh,2026-08-12,12,25742366,400620282,23931372,0,624510.107757735716,481605.983241004723892739,28682.110185179942779474,624510,171586,452924,0.234701910934886735,0.107757735716,0,0,0,0
refresh,2026-08-13,13,25749550,400671925,23945247,0,676153.605168150882,521773.692057297454053187,31081.560301063943346288,676153,185461,490692,0.473411917371293101,0.605168150882,0,0,0,0
refresh,2026-08-14,14,25756720,400723911,23959460,0,728139.112495191314,561946.578796625405399909,33482.401577068575837075,728139,199674,528465,0.935275634484437166,0.112495191314,0,0,0,0
refresh,2026-08-15,15,25763887,400775554,23973328,0,779782.60990560648,602124.677849468702098018,35884.667902355655732605,779782,213542,566240,0.599958493433634587,0.60990560648,0,0,0,0
refresh,2026-08-16,16,25771073,400827540,23987534,0,831768.117232646912,642307.954825346816619679,38288.324685916796109568,831768,227748,604020,0.487093216891489889,0.117232646912,0,0,0,0
refresh,2026-08-17,17,25778250,403415151,24917876,0,883411.614643062078,682750.709884019599518441,40693.405816913865320545,883411,241354,642057,0.310575956343802104,0.614643062078,0,-2535968,2535968,916736
refresh,2026-08-18,18,25785424,403467137,24931912,0,935397.12197010251,723198.642865727474464215,43191.766565131046425184,935397,255390,680007,0.245669506081960969,0.12197010251,0,-2535968,2535968,916736
refresh,2026-08-19,19,25792601,403518780,24945602,0,987040.619380517676,763651.788160950506311961,45691.534615939394294173,987040,269080,717960,0.365835506563982212,0.619380517676,0,-2535968,2535968,916736
refresh,2026-08-20,20,25799779,403571108,24959972,0,1039368.136624183374,804110.111379208831423138,48192.675278066771144911,1039368,283450,755918,0.700523041313721773,0.136624183374,0,-2535968,2535968,916736
refresh,2026-08-21,21,25806958,403623093,24973997,0,1091353.643951223806,844573.681201199677901826,50695.256730892022729482,1091353,297475,793878,0.219480916150827656,0.643951223806,0,-2535968,2535968,916736
refresh,2026-08-22,22,25814126,403675763,24988701,0,1144023.17111151477,885042.463236442583157208,53199.244383406766751126,1144023,312179,831844,0.952258478953593918,0.17111151477,0,-2535968,2535968,916736
refresh,2026-08-23,23,25821305,403728090,25003060,0,1196350.688355180468,925516.526165634899289761,55704.706314726064113385,1196350,326538,869812,0.868504271632823624,0.688355180468,0,-2535968,2535968,916736
refresh,2026-08-24,24,25828483,403780760,25017757,0,1249020.215515471432,965995.835598296281598886,58211.607933841539832594,1249020,341235,907785,0.987851016690233708,0.215515471432,0,-2535968,2535968,916736
refresh,2026-08-25,25,25835657,403833429,25032451,0,1301689.742675762396,1006480.425924907531549161,60719.983129915049835205,1301689,355929,945760,0.299880769914286044,0.742675762396,0,-2535968,2535968,916736
refresh,2026-08-26,26,25842829,403891229,25052270,0,1359489.41858543235,1046970.297045204707603243,63229.831602155207459729,1359489,375748,983741,0.953142382849856486,0.41858543235,0,-2535968,2535968,916736
refresh,2026-08-27,27,25850009,403944582,25067640,0,1412842.965578973846,1087465.963412706722999965,65741.667202498436788095,1412842,391118,1021724,0.66936876555978813,0.965578973846,0,-2535968,2535968,916736
refresh,2026-08-28,28,25857181,403998620,25083690,0,1466880.532405765874,1127966.979154329108581726,68255.043857332052003423,1466880,407168,1059712,0.597108768817421697,0.532405765874,0,-2535968,2535968,916736
refresh,2026-08-29,29,25864358,404055052,25102130,0,1523312.168648934764,1168473.412950769149688979,70770.029746034902262469,1523312,425608,1097704,0.78544420051657349,0.168648934764,0,-2535968,2535968,916736
refresh,2026-08-30,30,25871535,404109089,25118173,0,1577349.735475726792,1208985.504833546059790466,73286.864499071007744367,1577349,441651,1135698,0.095141251739953901,0.735475726792,0,-2535968,2535968,916736
refresh,2026-08-31,31,25878704,404163469,25134553,0,1631729.312219144086,1249503.014670877100924301,75805.307784129817568537,1631729,458031,1173698,0.605332396802644236,0.312219144086,0,-2535968,2535968,916736
noted,2026-08-01,1,25663469,400048783,23775074,0,53011.53707691623,40105.093075253220766135,2382.246252788138023654,53011,15288,37723,0.690254451147257519,0.53707691623,0,0,0,0
noted,2026-08-02,2,25670641,400101453,23790017,0,105681.064237207194,80215.50123440965051575,4766.025338435669901967,105681,30231,75450,0.588341233213386217,0.064237207194,0,0,0,0
noted,2026-08-03,3,25677819,400153780,23804614,0,158008.581480872892,120331.190287515953294374,7151.302665934185249549,158008,44828,113180,0.693859291123955175,0.581480872892,0,0,0,0
noted,2026-08-04,4,25684999,400205082,23818181,0,209310.068974662792,160452.12584409078331175,9538.043544011455919538,209310,58395,150915,0.986674583464607788,0.068974662792,0,0,0,0
noted,2026-08-05,5,25692172,400256041,23831403,0,260269.546551827426,200578.205133747346300665,11926.144700961260582707,260269,71617,188652,0.486119041340282042,0.546551827426,0,0,0,0
noted,2026-08-06,6,25699361,400308027,23845647,0,312255.053878867858,240709.393766004885884488,14315.571545775198632952,312255,85861,226394,0.231658638170748464,0.053878867858,0,0,0,0
noted,2026-08-07,7,25706531,400359670,23859545,0,363898.551289283024,280845.794711777904275728,16706.426548049158876776,363898,99759,264139,0.183125554278601048,0.551289283024,0,0,0,0
noted,2026-08-08,8,25713689,400411656,23873781,0,415884.058616323456,320987.373580585860216339,19098.675016510961038624,415884,113995,301889,0.360052248556822285,0.058616323456,0,0,0,0
noted,2026-08-09,9,25720867,400463983,23888355,0,468211.575859989154,361134.16476290977316368,21492.350840322474080012,468211,128569,339642,0.761937401854916332,0.575859989154,0,0,0,0
noted,2026-08-10,10,25728039,400516311,23902926,0,520539.093103654852,401286.202448702272122658,23887.487908645518930388,520539,143140,377399,0.37856359809880773,0.093103654852,0,0,0,0
noted,2026-08-11,11,25735200,400568296,23917151,0,572524.600430695284,441443.486738227546392844,26284.085920688741824273,572524,157365,415159,0.199613156479431429,0.600430695284,0,0,0,0
noted,2026-08-12,12,25742366,400620282,23931372,0,624510.107757735716,481605.983241004723892739,28682.110185179942779474,624510,171586,452924,0.234701910934886735,0.107757735716,0,0,0,0
noted,2026-08-13,13,25749550,400671925,23945247,0,676153.605168150882,521773.692057297454053187,31081.560301063943346288,676153,185461,490692,0.473411917371293101,0.605168150882,0,0,0,0
noted,2026-08-14,14,25756720,400723911,23959460,0,728139.112495191314,561946.578796625405399909,33482.401577068575837075,728139,199674,528465,0.935275634484437166,0.112495191314,0,0,0,0
noted,2026-08-15,15,25763887,400775554,23973328,0,779782.60990560648,602124.677849468702098018,35884.667902355655732605,779782,213542,566240,0.599958493433634587,0.60990560648,0,0,0,0
noted,2026-08-16,16,25771073,400827540,23987534,0,831768.117232646912,642307.954825346816619679,38288.324685916796109568,831768,227748,604020,0.487093216891489889,0.117232646912,0,0,0,0
noted,2026-08-17,17,25778250,403415151,24918130,0,883411.614643062078,682496.444114740757616108,40693.405816913865320545,883411,241608,641803,0.576345235185704437,0.614643062078,0,0,2535968,916736
noted,2026-08-18,18,25785424,403467137,24932166,0,935397.12197010251,722944.377096448632561882,43191.792032134335436013,935397,255644,679753,0.536905788212874131,0.12197010251,0,0,2535968,916736
noted,2026-08-19,19,25792601,403518780,24945856,0,987040.619380517676,763397.522391671664409628,45691.585549945972315502,987040,269334,717706,0.682538791983905874,0.619380517676,0,0,2535968,916736
noted,2026-08-20,20,25799779,403571108,24960227,0,1039368.136624183374,803855.845609929989520805,48192.751679076638177013,1039368,283705,755663,0.042693330022656208,0.136624183374,0,0,2535968,916736
noted,2026-08-21,21,25806958,403623093,24974251,0,1091353.643951223806,844319.415431920835999493,50695.358699168971248661,1091353,297729,793624,0.587218471941249168,0.643951223806,0,0,2535968,916736
noted,2026-08-22,22,25814126,403675763,24988956,0,1144023.17111151477,884788.197467163741254875,53199.37181868700428107,1144023,312434,831589,0.345463038033026195,0.17111151477,0,0,2535968,916736
noted,2026-08-23,23,25821305,403728090,25003315,0,1196350.688355180468,925262.260396356057387428,55704.859317273383130311,1196350,326793,869557,0.287276097793742883,0.688355180468,0,0,2535968,916736
noted,2026-08-24,24,25828483,403780760,25018012,0,1249020.215515471432,965741.569829017439696553,58211.786503655940336599,1249020,341490,907530,0.432190109932640046,0.215515471432,0,0,2535968,916736
noted,2026-08-25,25,25835657,403833429,25032705,0,1301689.742675762396,1006226.160155628689646828,60720.187266996531826374,1301689,356183,945506,0.769787130238179546,0.742675762396,0,0,2535968,916736
noted,2026-08-26,26,25842829,403891229,25052525,0,1359489.41858543235,1046716.03127592586570091,63230.061206239978461632,1359489,376003,983486,0.448515746462760722,0.41858543235,0,0,2535968,916736
noted,2026-08-27,27,25850009,403944582,25067895,0,1412842.965578973846,1087211.697643427881097632,65741.922373850289276964,1412842,391373,1021469,0.190309396254179332,0.965578973846,0,0,2535968,916736
noted,2026-08-28,28,25857181,403998620,25083945,0,1466880.532405765874,1127712.713385050266679393,68255.324595950985979496,1466880,407423,1059457,0.143616666593300103,0.532405765874,0,0,2535968,916736
noted,2026-08-29,29,25864358,404055052,25102385,0,1523312.168648934764,1168219.147181490307786646,70770.336051920917725629,1523312,425863,1097449,0.357519365373938983,0.168648934764,0,0,2535968,916736
noted,2026-08-30,30,25871535,404109089,25118427,0,1577349.735475726792,1208731.239064267217888133,73287.196372224104694512,1577349,441905,1135444,0.692783683678806379,0.735475726792,0,0,2535968,916736
noted,2026-08-31,31,25878704,404163469,25134808,0,1631729.312219144086,1249248.748901598259021968,75805.6651242862035293,1631729,458286,1173443,0.228441832030507332,0.312219144086,0,0,2535968,916736
ceiling,2026-08-01,1,25663469,399995772,23775074,4712,53011.53707691623,40105.093075253220766135,2382.246252788138023654,0,15288,0,0.690254451147257519,53011.53707691623,0,0,0,0
ceiling,2026-08-02,2,25670641,399995772,23779786,0,105681.064237207194,80210.186150506683008166,4766.025338435669901967,0,20000,0,10236.903425136180893801,105681.064237207194,0,0,0,0
ceiling,2026-08-03,3,25677819,399995772,23779786,0,158008.581480872892,120315.279225760285193913,7150.276867073358991606,0,20000,0,24843.579122185965797693,158008.581480872892,0,0,0,0
ceiling,2026-08-04,4,25684999,399995772,23779786,0,209310.068974662792,160420.372301013501116475,9534.528395711025117862,0,20000,0,38424.225069360316001387,209310.068974662792,0,0,0,0
ceiling,2026-08-05,5,25692172,399995772,23779786,0,260269.546551827426,200525.465376266824680262,11918.779924348697643399,0,20000,0,51662.861099909298963137,260269.546551827426,0,0,0,0
ceiling,2026-08-06,6,25699361,399995772,23779786,0,312255.053878867858,240630.558451520318852139,14303.031452986380311603,0,20000,0,65927.526880333919459464,312255.053878867858,0,0,0,0
ceiling,2026-08-07,7,25706531,399995772,23779786,0,363898.551289283024,280735.651526773612806632,16687.282981624051076865,0,20000,0,79850.182744133462270233,363898.551289283024,0,0,0,0
ceiling,2026-08-08,8,25713689,399995772,23779786,0,415884.058616323456,320840.74460202698449666,19071.534510261726463512,0,20000,0,94114.848524558197966852,415884.058616323456,0,0,0,0
ceiling,2026-08-09,9,25720867,399995772,23779786,0,468211.575859989154,360945.837677280633739659,21455.786038899418350709,0,20000,0,108721.52422160793861105,468211.575859989154,0,0,0,0
ceiling,2026-08-10,10,25728039,399995772,23779786,0,520539.093103654852,401050.930752533955716696,23840.037567537090781914,0,20000,0,123328.199918657987065218,520539.093103654852,0,0,0,0
ceiling,2026-08-11,11,25735200,399995772,23779786,0,572524.600430695284,441156.023827787346820697,26224.289096174767322723,0,20000,0,137592.865699082704502026,572524.600430695284,0,0,0,0
ceiling,2026-08-12,12,25742366,399995772,23779786,0,624510.107757735716,481261.116903040754439486,28608.540624812444845338,0,20000,0,151857.531479507406405852,624510.107757735716,0,0,0,0
ceiling,2026-08-13,13,25749550,399995772,23779786,0,676153.605168150882,521366.209978294035746188,30992.792153450114858687,0,20000,0,165780.187343306961112499,676153.605168150882,0,0,0,0
ceiling,2026-08-14,14,25756720,399995772,23779786,0,728139.112495191314,561471.303053547677887724,33377.043682087806323701,0,20000,0,180044.853123731442435977,728139.112495191314,0,0,0,0
ceiling,2026-08-15,15,25763887,399995772,23779786,0,779782.60990560648,601576.396128800986786941,35761.295210725477977428,0,20000,0,193967.508987530971190487,779782.60990560648,0,0,0,0
ceiling,2026-08-16,16,25771073,399995772,23779786,0,831768.117232646912,641681.489204054253846229,38145.546739363147143767,0,20000,0,208232.174767955805297538,831768.117232646912,0,0,0,0
ceiling,2026-08-17,17,25778250,399995772,23779786,0,883411.614643062078,681786.582279307667922989,40529.798268000825050309,0,20000,0,222154.83063175523512732,883411.614643062078,0,0,0,0
ceiling,2026-08-18,18,25785424,399995772,23779786,0,935397.12197010251,721891.675354561312319241,42914.049796638516649366,0,20000,0,236419.496412179714330125,935397.12197010251,0,0,0,0
ceiling,2026-08-19,19,25792601,399995772,23779786,0,987040.619380517676,761996.768429814438910614,45298.301325276177464875,0,20000,0,250342.152275979414554261,987040.619380517676,0,0,0,0
ceiling,2026-08-20,20,25799779,399995772,23779786,0,1039368.136624183374,802101.861505067995258778,47682.552853913863829465,0,20000,0,264948.827973029242570687,1039368.136624183374,0,0,0,0
ceiling,2026-08-21,21,25806958,399995772,23779786,0,1091353.643951223806,842206.954580321368486319,50066.804382551539307517,0,20000,0,279213.493753453976821198,1091353.643951223806,0,0,0,0
ceiling,2026-08-22,22,25814126,399995772,23779786,0,1144023.17111151477,882312.047655574912255059,52451.055911189224924259,0,20000,0,294162.1793671290826692,1144023.17111151477,0,0,0,0
ceiling,2026-08-23,23,25821305,399995772,23779786,0,1196350.688355180468,922417.140730828136778991,54835.307439826891561868,0,20000,0,308768.855064179222782877,1196350.688355180468,0,0,0,0
ceiling,2026-08-24,24,25828483,399995772,23779786,0,1249020.215515471432,962522.233806081512463912,57219.558968464567186011,0,20000,0,323717.540677854486722099,1249020.215515471432,0,0,0,0
ceiling,2026-08-25,25,25835657,399995772,23779786,0,1301689.742675762396,1002627.326881335021491299,59603.810497102250737377,0,20000,0,338666.226291529625246078,1301689.742675762396,0,0,0,0
ceiling,2026-08-26,26,25842829,399995772,23779786,0,1359489.41858543235,1042732.419956588516181983,61988.062025739933436424,0,20000,0,358745.060654583767254441,1359489.41858543235,0,0,0,0
ceiling,2026-08-27,27,25850009,399995772,23779786,0,1412842.965578973846,1082837.513031841715998728,64372.313554377598605188,0,20000,0,374377.76610150972860646,1412842.965578973846,0,0,0,0
ceiling,2026-08-28,28,25857181,399995772,23779786,0,1466880.532405765874,1122942.606107095287918794,66756.565083015285895529,0,20000,0,390694.491381685871976735,1466880.532405765874,0,0,0,0
ceiling,2026-08-29,29,25864358,399995772,23779786,0,1523312.168648934764,1163047.699182348676394248,69140.816611652962280071,0,20000,0,409405.286078239049885823,1523312.168648934764,0,0,0,0
ceiling,2026-08-30,30,25871535,399995772,23779786,0,1577349.735475726792,1203152.792257601906144284,71525.068140290629228372,0,20000,0,425722.011358415515084088,1577349.735475726792,0,0,0,0
ceiling,2026-08-31,31,25878704,399995772,23779786,0,1631729.312219144086,1243257.885332855217801157,73909.319668928301046042,0,20000,0,442380.746555217169244885,1631729.312219144086,0,0,0,0
